titre,prix,ville,quartier,surface_m2,chambres,sdb,etage,annee_construction,lien
Ordinateurs de bureau,,,,,,,,,https://www.avito.ma/fr/maroc/ordinateurs_bureau-%C3%A0_vendre
Gaming,,,,,,,,,https://www.avito.ma/fr/maroc/jeux_vid%C3%A9o_et_consoles-%C3%A0_vendre
Gadgets,,,,,,,,,https://www.avito.ma/fr/maroc/gadgets-%C3%A0_vendre
Imprimantes,,,,,,,,,https://www.avito.ma/fr/maroc/imprimantes-%C3%A0_vendre
Télévisions,,,,,,,,,https://www.avito.ma/fr/maroc/t%C3%A9l%C3%A9visions-%C3%A0_vendre
Photo-Video,,,,,,,,,https://www.avito.ma/fr/maroc/appareils_photo_cameras-%C3%A0_vendre
Audio et Hi-Fi,,,,,,,,,https://www.avito.ma/fr/maroc/image_et_son-%C3%A0_vendre
Comptes et Abonnements,,,,,,,,,https://www.avito.ma/fr/maroc/comptes_et_abonnements-%C3%A0_vendre
Accessoires Informatiques,,,,,,,,,https://www.avito.ma/fr/maroc/accessoires_informatique_et_gadgets-%C3%A0_vendre
Autres Matériels Electroniques,,,,,,,,,https://www.avito.ma/fr/maroc/autres_materiels_electroniques-%C3%A0_vendre
EQUIPEMENT POUR BÉBÉ ET ENFANT,,,,,,,,,https://www.avito.ma/fr/maroc/equipements_pour_enfant-%C3%A0_vendre
MAISON ET JARDIN,,,,,,,,,https://www.avito.ma/fr/maroc/pour_la_maision_et_jardin-%C3%A0_vendre
Petit Electroménager,,,,,,,,,https://www.avito.ma/fr/maroc/petit_electromenager-%C3%A0_vendre
Grand Electroménager,,,,,,,,,https://www.avito.ma/fr/maroc/grand_electromenager-%C3%A0_vendre
Confort de la maison,,,,,,,,,https://www.avito.ma/fr/maroc/confort_de_la_maison-%C3%A0_vendre
Vaisselles,,,,,,,,,https://www.avito.ma/fr/maroc/vaisselles-%C3%A0_vendre
Meuble,,,,,,,,,https://www.avito.ma/fr/maroc/meubles-%C3%A0_vendre
Décoration,,,,,,,,,https://www.avito.ma/fr/maroc/decoration-%C3%A0_vendre
Textile,,,,,,,,,https://www.avito.ma/fr/maroc/textile-%C3%A0_vendre
Tapis,,,,,,,,,https://www.avito.ma/fr/maroc/tapis-%C3%A0_vendre
Porte et Fenêtre,,,,,,,,,https://www.avito.ma/fr/maroc/porte_et_fenetre-%C3%A0_vendre
Jardin,,,,,,,,,https://www.avito.ma/fr/maroc/jardin-%C3%A0_vendre
Bricolage,,,,,,,,,https://www.avito.ma/fr/maroc/bricolage-%C3%A0_vendre
Sanitaire,,,,,,,,,https://www.avito.ma/fr/maroc/sanitaire-%C3%A0_vendre
